date,id,prices,price_diff,returns,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2022-01-03,bitcoin,47387.21,-428.8700000000026,-4.288700000000026,897536090320.94,-7015856596.380005,33756128241.99,14851542430.960005,46319.65,47816.08,46319.65
2022-01-07,bitcoin,43216.46,-430.6900000000023,-4.306900000000024,819522879407.06,-8200323308.039917,26366602396.81,-5471038849.209999,46531.14,46531.14,43216.46
2022-01-11,bitcoin,41869.86,7.5,0.075,792407724467.6,759166253.039917,27984634062.05,9967915888.44,41527.2,41869.86,41527.2
2022-01-15,bitcoin,43120.85,512.439999999995,5.124399999999951,816129314317.44,9618454085.609983,20238314434.86,-23667431436.43,42777.21,43981.88,42608.41
2022-01-19,bitcoin,42395.46,97.12000000000262,0.9712000000000262,803962100417.98,3139450034.0200195,18897950050.29,1203020424.4400024,43226.65,43226.65,42298.34
2022-01-23,bitcoin,35180.44,-1328.3600000000006,-13.283600000000003,666220701468.48,-26634327694.45996,35517336417.26,-2779623616.0599976,41749.55,41749.55,35180.44
2022-01-27,bitcoin,36870.44,-118.48999999999796,-1.1848999999999796,700165819656.29,-405632992.5299072,26756873749.74,-19412044835.11,36306.41,36988.93,36306.41
2022-01-31,bitcoin,37983.15,-249.02999999999884,-2.4902999999999884,719570142321.84,-3258867324.340088,11807185113.63,-2371465117.9900017,37276.84,38232.18,37276.84
2022-02-03,bitcoin,37000.98,-1834.7099999999991,-18.34709999999999,700645616423.83,-35456657812.78003,16709908527.23,-399211722.9300003,38555.53,38835.69,37000.98
2022-02-07,bitcoin,42475.54,981.8499999999984,9.818499999999986,804942041477.06,18646988434.82007,13206494654.91,-3545557041.34,37101.35,42475.54,37101.35
2022-02-11,bitcoin,43628.14,-755.75,-7.5575,826942197610.39,-14397775728.47998,27877618433.98,8097053370.880001,43910.93,44383.89,43628.14
2022-02-15,bitcoin,42634.57,386.7300000000032,3.867300000000032,808280617642.05,6220904612.660034,18090873762.82,5944450511.42,42445.39,42634.57,42247.84
2022-02-19,bitcoin,40073.5,-489.489999999998,-4.894899999999979,759881874201.3,-10214803577.349976,20130002755.18,-2140661860.2999992,44574.32,44574.32,40073.5
2022-02-23,bitcoin,38337.2,1277.219999999994,12.77219999999994,727094284067.66,24090042477.47998,22212181617.2,-2962732486.959999,40192.76,40192.76,37059.98
2022-02-27,bitcoin,39090.2,-225.9600000000064,-2.259600000000064,741083625917.93,-4679568786.25,14568201294.75,-8011047846.77,37372.29,39316.16,37372.29
2022-02-28,bitcoin,37803.59,-1286.6100000000006,-12.866100000000008,717619764688.09,-23463861229.840088,19424397945.62,4856196650.869999,37803.59,44459.59,37803.59
2022-03-07,bitcoin,38442.99,-1020.1600000000036,-10.201600000000036,729501899968.3,-18695260887.799927,16995562040.61,2177349895.8600006,42491.98,42491.98,38442.99
2022-03-11,bitcoin,39468.35,-2517.6800000000003,-25.176800000000004,749384110700.11,-47465394197.15002,27653455219.04,-1558246900.4099998,38076.49,41986.03,38076.49
2022-03-15,bitcoin,39669.42,1816.8899999999996,18.168899999999997,751354026218.98,32802938187.609985,21250969229.22,6789321653.710001,38775.18,39669.42,37852.53
2022-03-19,bitcoin,41837.41,835.7000000000044,8.357000000000044,794378970588.31,15904644878.420044,30316128166.49,11454483223.900002,39331.85,41837.41,39331.85
2022-03-23,bitcoin,42401.9,1340.0800000000015,13.400800000000018,803937099701.41,24731686322.54004,28688623151.36,7352740668.040001,42201.94,42401.9,41061.82
2022-03-27,bitcoin,44510.84,179.05999999999767,1.7905999999999769,845235093872.76,3203155150.9699707,13676534294.23,-12471221813.850002,42802.15,44510.84,42802.15
2022-03-31,bitcoin,47063.37,-395.8899999999994,-3.958899999999994,895356010540.85,-6073991348.150024,24497248306.35,-1630792374.4800034,46715.12,47459.26,46715.12
