date,id,prices,price_diff,returns,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2020-01-03,bitcoin,6963.85,-229.89999999999964,-2.2989999999999964,126280790200.2,-4142163617.470001,20313194628.09,2189677789.1899986,7195.15,7195.15,6963.85
2020-01-07,bitcoin,7734.68,384.71,3.8471,140557168287.44,7168177200.559998,28148518761.51,6219294190.949997,7300.35,7734.68,7300.35
2020-01-11,bitcoin,8180.51,347.71000000000004,3.4771000000000005,146879934259.31,4966077305.829987,35777298156.26,6501244715.380001,8147.42,8180.51,7832.8
2020-01-15,bitcoin,8801.87,691.2200000000012,6.912200000000012,159481192213.82,12035134017.360016,55384169405.52,27421992624.89,8012.09,8801.87,8012.09
2020-01-19,bitcoin,8906.9,4.329999999999927,0.0432999999999992,161823609428.35,-25138313.799987797,36801813631.51,-4870097166.829994,8820.85,8906.9,8720.92
2020-01-23,bitcoin,8665.44,-59.3799999999992,-0.593799999999992,157502652064.02,-1062306286.960022,25628542094.5,-1429139685.25,8690.38,8724.82,8631.25
2020-01-27,bitcoin,8595.73,247.0599999999995,2.470599999999995,156302144661.31,4507648938.059998,30241155463.27,3658956496.970001,8415.96,8595.73,8348.67
2020-01-31,bitcoin,9509.81,232.92000000000007,2.3292000000000006,172993102966.38,4254874164.880005,51037775414.98,3764422271.220001,8879.34,9509.81,8879.34
2020-02-03,bitcoin,9338.42,-24.799999999999272,-0.2479999999999927,169926610304.08,-434557530.0800171,55025402183.68,6717423949.830002,9308.06,9363.22,9308.06
2020-02-07,bitcoin,9744.64,152.45999999999913,1.5245999999999913,177388314197.56,2791508023.26001,71141695218.04,5466129597.12999,9308.91,9744.64,9179.96
2020-02-11,bitcoin,9890.12,-258.2599999999984,-2.582599999999984,180145850760.05,-4646249255.110016,81406687324.35,3295732019.830002,9799.45,10148.38,9799.45
2020-02-15,bitcoin,10320.16,98.89999999999964,0.9889999999999964,187680301470.74,1489956554.7099917,50206573483.05,-3944663134.5099945,10226.93,10328.9,10221.26
2020-02-19,bitcoin,10133.82,410.2099999999991,4.102099999999991,184918071499.1,8370419232.700012,54648014949.72,6130423812.25,9894.14,10133.82,9723.61
2020-02-23,bitcoin,9658.61,-14.399999999999636,-0.1439999999999963,176097270350.48,-604573751.0799866,32555342237.08,-5122825163.639999,9618.41,9673.01,9608.17
2020-02-27,bitcoin,8801.66,-543.6800000000003,-5.4368000000000025,160731785487.81,-9747190979.809998,45140119229.64,5698358453.32,9946.72,9946.72,8801.66
2020-02-29,bitcoin,8717.33,-63.85000000000037,-0.6385000000000036,159030381910.27,-1119593391.1500244,41297721067.3,-1747747933.6800003,8781.18,8781.18,8717.33
2020-03-03,bitcoin,8905.88,338.0799999999999,3.3808,162521881368.88,6587459403.610016,59776629742.57,25465854009.25,8552.99,8905.88,8552.99
2020-03-07,bitcoin,9135.85,96.97999999999956,0.9697999999999956,166791067805.43,1720806192.639984,41388087588.44,3265452415.290001,8756.72,9135.85,8756.72
2020-03-11,bitcoin,7906.73,-14.600000000000364,-0.1460000000000036,144410718987.89,-253398921.519989,40882213633.95,-4796451529.160004,8902.2,8902.2,7906.73
2020-03-15,bitcoin,5214.19,-328.6300000000001,-3.286300000000001,95216478864.66,-6046466432.699997,36054625746.83,-38275063071.27,7935.52,7935.52,5142.99
2020-03-19,bitcoin,5376.28,-13.140000000000327,-0.1314000000000032,98259998309.05,180242302.26000977,37618067230.41,1610977976.590004,5397.93,5397.93,5032.5
2020-03-23,bitcoin,5859.65,-286.1200000000008,-2.861200000000008,107128564670.89,-5221271231.440002,37255748385.3,-2933449746.159996,6170.2,6195.6,5859.65
2020-03-27,bitcoin,6765.56,69.66000000000076,0.6966000000000077,123732739823.46,1287403224.2600098,34840544710.11,-7241750780.919998,6456.35,6765.56,6456.35
2020-03-31,bitcoin,6403.14,487.8000000000002,4.878000000000002,117151628726.53,8600025423.020004,34907149977.58,8983678685.400002,6397.83,6403.14,5915.34
2020-04-03,bitcoin,6807.9,167.09999999999943,1.6709999999999945,124719708453.64,3798091443.289993,47638672293.74,11751708316.019997,6421.71,6807.9,6421.71
2020-04-07,bitcoin,7297.64,509.59000000000015,5.095900000000001,133484854333.45,9212490881.509996,45370138560.82,13484476395.81,6732.85,7297.64,6732.85
2020-04-11,bitcoin,6864.69,-429.8000000000002,-4.298000000000002,125740858699.28,-7857792582.440002,37828011010.9,2906524575.840004,7196.78,7342.29,6864.69
2020-04-15,bitcoin,6860.18,2.6400000000003274,0.0264000000000032,125713883015.65,62779225.43998718,33837365577.45,-4225002713.630001,6878.78,6913.16,6857.54
2020-04-19,bitcoin,7242.51,207.25,2.0725,132775323305.44,3813619068.050003,30035235468.33,-1666671371.289997,6629.43,7242.51,6629.43
2020-04-23,bitcoin,7110.0,267.96000000000004,2.6796,130398643209.39,4925494180.270004,30819547915.34,726244313.9500008,7127.51,7127.51,6842.04
2020-04-27,bitcoin,7683.87,145.3099999999995,1.453099999999995,140977260141.33,2679125018.470001,33760863612.13,2150696460.010002,7382.79,7683.87,7382.79
2020-04-30,bitcoin,8744.43,986.2000000000008,9.862000000000007,160483573440.18,18113360663.039974,60399592065.54,27543904268.57,7774.28,8744.43,7758.23
2020-05-03,bitcoin,8966.31,141.48999999999978,1.4148999999999978,164603123456.0,2613768277.1799927,39177855720.33,-5596111477.220001,8610.64,8966.31,8610.64
2020-05-07,bitcoin,9144.69,141.45000000000073,1.4145000000000072,167950864937.15,2615247298.100006,48538811466.8,5102577174.830002,8888.67,9144.69,8884.41
2020-05-11,bitcoin,8752.62,-814.1599999999999,-8.141599999999999,160814678353.71,-14937896000.930023,61704475184.53,14997934004.43,9959.17,9959.17,8752.62
2020-05-15,bitcoin,9796.49,513.3999999999996,5.133999999999997,179398095871.34,8804745815.519989,52076585310.72,7836633394.200005,8604.75,9796.49,8604.75
2020-05-19,bitcoin,9708.44,42.11000000000058,0.4211000000000058,178446153576.46,1221869207.3299866,38922896809.95,3272863855.979996,9309.3,9708.44,9309.3
2020-05-23,bitcoin,9131.77,71.81000000000131,0.7181000000000131,168309812992.51,1740477701.6700134,27700943119.84,-8264073573.880001,9760.2,9760.2,9059.96
2020-05-27,bitcoin,8839.13,-44.56000000000131,-0.4456000000000131,162547226896.54,-786517092.039978,26860828302.62,-2270129431.4799995,9170.36,9170.36,8731.85
2020-05-31,bitcoin,9662.71,235.58999999999835,2.3558999999999832,177978616382.69,4623601504.209991,30231487421.64,1351221846.709999,9174.12,9662.71,9174.12
2020-06-03,bitcoin,9515.24,-652.6900000000005,-6.526900000000005,175463166971.52,-11469535094.450012,36841150778.64,3138610925.130001,9466.96,10167.93,9466.96
2020-06-07,bitcoin,9662.86,25.89000000000124,0.2589000000000123,177901732349.93,527794972.6300049,19374357195.06,-4073624807.129997,9645.23,9776.2,9636.97
2020-06-11,bitcoin,9874.9,107.88999999999942,1.0788999999999942,181705166673.57,1995325919.7700195,24398738299.65,1554466348.4400024,9738.6,9874.9,9738.6
2020-06-15,bitcoin,9345.96,-123.51000000000022,-1.235100000000002,172116372679.34,-2158633123.7099915,18836155988.9,-857305107.5999985,9326.0,9469.53,9326.0
2020-06-19,bitcoin,9399.77,-63.59000000000015,-0.6359000000000015,173034439845.62,-1196749911.570007,20601074385.5,-3042143865.6399994,9431.72,9524.93,9399.77
2020-06-23,bitcoin,9678.68,380.3199999999997,3.803199999999997,178128652479.62,6936243005.47998,24768621256.84,5782383874.790001,9312.78,9678.68,9298.36
2020-06-27,bitcoin,9166.49,-92.18000000000028,-0.921800000000003,168807143703.19,-1688138189.269989,22429204010.64,-1069971973.5800018,9624.68,9624.68,9166.49
2020-06-30,bitcoin,9185.17,45.27000000000044,0.4527000000000044,169175896894.16,841847121.6900024,19754459582.75,88524366.04999924,9013.91,9185.17,9013.91
2020-07-03,bitcoin,9094.32,-136.35000000000036,-1.3635000000000037,167604994105.35,-2427002497.419983,19379463385.3,-625568168.7200012,9149.72,9230.67,9094.32
2020-07-07,bitcoin,9342.38,254.96999999999932,2.5496999999999934,172136257752.37,4706521259.470001,21987059041.69,4662595155.309998,9071.39,9342.38,9071.39
2020-07-11,bitcoin,9282.91,47.19000000000051,0.4719000000000051,171104767641.88,906161498.25,18224423467.74,-1255990006.5,9253.63,9432.17,9235.72
2020-07-15,bitcoin,9247.06,6.299999999999272,0.0629999999999927,170451532161.74,80804342.5,19147263017.23,901595190.2200012,9234.31,9297.48,9234.31
2020-07-19,bitcoin,9168.4,12.11999999999898,0.1211999999999898,169031588403.37,271144266.3200073,15638459042.9,-862199978.8600006,9203.37,9203.37,9136.48
2020-07-23,bitcoin,9514.3,129.92000000000007,1.2992000000000008,175370017196.68,2333259521.0099792,19702428931.33,-345646799.91999817,9202.62,9514.3,9163.16
2020-07-27,bitcoin,9925.75,233.92000000000007,2.339200000000001,183064851468.0,4323976928.5,19713211084.56,-17012856743.81,9589.82,9925.75,9535.94
2020-07-31,bitcoin,11116.31,22.69999999999891,0.2269999999999891,205200775318.22,230990227.54000852,22265381996.19,-1376729787.8600006,10962.26,11116.31,10904.92
2020-08-03,bitcoin,11066.31,-745.7800000000007,-7.457800000000007,204126077224.65,-13615348083.980013,27584591853.07,1385645356.790001,11325.55,11812.09,11066.31
2020-08-07,bitcoin,11768.13,48.86999999999898,0.4886999999999898,217128467890.11,879203046.4099731,21793317050.97,-566553134.2399979,11230.91,11768.13,11181.92
2020-08-11,bitcoin,11862.94,180.09000000000017,1.8009000000000015,218920276229.41,3298648801.820008,24145919191.34,7094369000.530001,11571.49,11862.94,11571.49
2020-08-15,bitcoin,11777.39,-39.77000000000044,-0.3977000000000044,216916952670.3,-268067834.480011,21650925952.0,-3104844232.1399994,11398.67,11817.16,11398.67
2020-08-19,bitcoin,11949.61,-322.8599999999988,-3.228599999999988,220980135332.21,-5555968169.649994,24825715158.71,-656181031.8500023,11864.91,12272.47,11864.91
2020-08-23,bitcoin,11676.39,161.26999999999862,1.6126999999999865,215641597239.98,2744927694.230011,19572783953.58,-3833570489.429997,11733.28,11861.84,11515.12
2020-08-27,bitcoin,11465.0,114.25,1.1425,211778947737.22,2120315408.850006,20869928785.8,-2553404133.1399994,11647.93,11758.83,11350.75
2020-08-31,bitcoin,11701.0,219.52000000000044,2.1952000000000043,216179629567.18,4064786955.639984,19909556666.6,1494117053.0599976,11300.4,11701.0,11300.4
2020-09-03,bitcoin,11418.25,-476.9799999999996,-4.769799999999996,210746091569.71,-10569599207.640017,26038738388.8,806135327.2700005,11672.32,11895.23,11418.25
2020-09-07,bitcoin,10260.02,82.22999999999956,0.8222999999999956,189621410257.04,1529311948.6900024,28801019507.33,-27629022691.36,10197.46,10484.47,10177.79
2020-09-11,bitcoin,10342.16,112.01000000000022,1.120100000000002,191180566587.06,2422628503.220001,77545788530.61,56188705084.3,10359.45,10359.45,10125.01
2020-09-15,bitcoin,10661.1,332.2299999999996,3.322299999999996,197010021430.24,6087301492.009979,23526143436.49,2468719003.010002,10378.22,10661.1,10328.87
2020-09-19,bitcoin,10927.15,-10.850000000000364,-0.1085000000000036,202091264904.97,-267214559.2200012,20681771888.4,-2865395236.9399986,10787.58,10952.25,10787.58
2020-09-23,bitcoin,10527.59,88.06999999999971,0.880699999999997,194731087415.29,1053292351.2000122,19866578108.98,-3890481583.380001,11084.0,11084.0,10439.52
2020-09-27,bitcoin,10743.19,61.20000000000073,0.6120000000000073,198687083452.04,1070133169.9700012,16886146730.05,-2233614329.4300003,10223.78,10743.19,10223.78
2020-09-30,bitcoin,10837.52,165.48999999999978,1.6548999999999978,200532996047.59,2812783276.6999817,18308943800.64,-1561019539.8500023,10765.3,10837.52,10672.03
2020-10-03,bitcoin,10572.67,-55.30999999999949,-0.5530999999999949,195660035179.73,-957046610.789978,21258724984.48,368972484.52000046,10770.88,10770.88,10572.67
2020-10-07,bitcoin,10605.96,-178.9900000000016,-1.789900000000016,196314284797.01,-3215845094.0799866,19419734685.1,1566250678.829998,10546.66,10784.95,10546.66
2020-10-11,bitcoin,11286.54,223.29000000000087,2.2329000000000088,209268690952.59,4459485560.410004,19496631246.27,241697444.15999985,10668.01,11286.54,10668.01
2020-10-15,bitcoin,11435.57,9.459999999999129,0.0945999999999912,211756280001.14,180116643.47000122,20441486195.02,885461125.6199989,11377.81,11543.18,11377.81
2020-10-19,bitcoin,11495.9,130.09000000000017,1.3009000000000015,212752326976.49,2330803669.799988,15569792414.42,-81127806.6800003,11495.58,11495.9,11319.1
2020-10-23,bitcoin,12951.04,144.60000000000036,1.4460000000000035,240257678153.84,3540359627.6799927,25070864646.76,-4243423343.3100014,11752.15,12951.04,11752.15
2020-10-27,bitcoin,13060.79,39.38000000000102,0.3938000000000102,242141178089.61,814559890.8799744,21507619985.69,2508874406.369999,12928.07,13106.05,12928.07
2020-10-31,bitcoin,13537.17,95.29000000000087,0.9529000000000089,250845436637.92,1299981041.5900269,23482756915.11,621914961.2799988,13655.19,13655.19,13283.0
2020-11-03,bitcoin,13558.36,-162.0,-1.62,251266177558.48,-2994072969.019989,22630851230.49,2858893522.550003,13778.64,13778.64,13558.36
2020-11-07,bitcoin,15548.31,-5.020000000000437,-0.0502000000000043,288563189165.39,445181587.960022,34523587704.57,-1789668014.449997,13989.98,15553.33,13989.98
2020-11-11,bitcoin,15278.71,-56.63000000000102,-0.5663000000000102,283242342238.51,-1049874837.2600098,21918753732.67,-7583000310.110001,14818.46,15496.32,14818.46
2020-11-15,bitcoin,16095.56,-231.25,-2.3125,298290647831.24,-4381854590.850037,22096608221.17,-2729696198.390003,15686.91,16326.81,15686.91
2020-11-19,bitcoin,17829.93,178.11000000000058,1.781100000000006,330792375072.03,3343536306.730041,40089857655.31,8517473209.589996,15984.67,17829.93,15984.67
2020-11-23,bitcoin,18390.61,-298.91999999999825,-2.9891999999999825,342078349285.1,-4545588067.070007,33010231293.96,1808350442.1800003,17819.76,18689.53,17819.76
2020-11-27,bitcoin,17138.03,-1615.260000000002,-16.15260000000002,317999016791.45,-30159082455.70996,48738957776.52,16592854936.239998,18360.69,19091.52,17138.03
2020-11-30,bitcoin,18169.95,450.9799999999996,4.509799999999996,336495192223.01,7682671817.27002,23940328528.71,-560932437.3400002,17140.28,18169.95,17140.28
2020-12-03,bitcoin,19208.4,350.9800000000032,3.509800000000032,356517705143.29,6930111916.149963,28923102074.83,-9691526068.739998,19609.52,19609.52,18857.42
2020-12-07,bitcoin,19325.55,186.4399999999987,1.864399999999987,358762118305.11,3517209570.459961,21832193872.7,-1501090513.5699997,19435.2,19435.2,18711.23
2020-12-11,bitcoin,18262.06,-302.9300000000003,-3.0293000000000028,339714540194.35,-4978537235.619995,24092658533.6,-5714099215.25,19198.81,19198.81,18262.06
2020-12-15,bitcoin,19259.97,108.84000000000016,1.0884000000000014,357681110300.36,2038319939.039978,21638023119.82,-1912557976.25,18058.03,19259.97,18058.03
2020-12-19,bitcoin,23120.57,314.90999999999985,3.1490999999999985,429459534590.42,5871844781.139954,37000188847.41,-23693575311.149998,19432.36,23120.57,19432.36
2020-12-23,bitcoin,23794.79,953.7999999999992,9.537999999999991,441752551013.19,17422611431.409973,38733771616.27,310375210.87999725,23863.85,23863.85,22840.99
2020-12-27,bitcoin,26476.13,1805.0200000000004,18.050200000000004,491978602969.93,33562283417.609985,41995154622.74,5372280392.909996,23308.13,26476.13,23308.13
2020-12-31,bitcoin,28837.29,1412.75,14.1275,535967306917.84,26287049740.79004,43341140482.28,5259300276.68,26423.23,28837.29,26423.23
2020-01-03,ethereum,127.05,-3.4299999999999926,-0.0342999999999999,13859793329.81,-370794774.4700012,6497297884.22,-126434156.73999976,129.19,130.48,127.05
2020-01-07,ethereum,143.81,8.800000000000011,0.0880000000000001,15692578635.12,953744380.8500004,9514201882.4,2253556753.99,133.7,143.81,133.7
2020-01-11,ethereum,144.6,6.739999999999981,0.0673999999999998,15647071448.44,648475580.4200001,10273370788.31,2992730570.0199995,143.02,144.6,137.86
2020-01-15,ethereum,165.99,22.40000000000001,0.224,18075462340.57,2360174683.209999,18970204899.2,10950410331.71,142.18,165.99,142.18
2020-01-19,ethereum,174.24,3.0800000000000125,0.0308000000000001,19138755594.52,410786561.72999954,15808136411.02,-107185608.76000024,166.25,174.24,163.81
2020-01-23,ethereum,167.83,-1.4499999999999886,-0.0144999999999998,18358377435.96,-102097699.84000015,8809189828.88,541769375.9699993,166.63,169.28,166.63
2020-01-27,ethereum,167.65,6.980000000000018,0.0698000000000001,18279197138.32,691530945.1199989,10518901915.39,1845085829.91,162.52,167.65,160.67
2020-01-31,ethereum,184.73,11.019999999999982,0.1101999999999998,20090242968.22,949993500.9300004,18170945326.39,2605575331.59,169.74,184.73,169.74
2020-02-03,ethereum,188.55,5.210000000000008,0.0521,20619310835.28,539312892.3899994,21543158277.5,2459340647.200001,179.23,188.55,179.23
2020-02-07,ethereum,212.73,8.869999999999976,0.0886999999999997,23314707733.87,899856937.1899986,30730370695.68,3021649117.510002,189.86,212.73,188.84
2020-02-11,ethereum,224.15,-4.139999999999986,-0.0413999999999998,24577280465.18,-433845861.5600014,40180881296.51,3114908071.6900024,223.28,228.29,223.28
2020-02-15,ethereum,284.23,16.560000000000002,0.1656,31059453816.69,1746573580.8199997,32486783383.6,567485105.3599968,236.79,284.23,236.79
2020-02-19,ethereum,281.95,14.009999999999993,0.1400999999999999,31034929114.66,1959877000.0299988,33038477053.27,4416671647.0,263.9,281.95,262.16
2020-02-23,ethereum,261.0,-4.160000000000025,-0.0416000000000002,28657670954.13,-456899402.23999786,14860160863.37,-3812508324.3899975,259.18,265.16,257.99
2020-02-27,ethereum,224.81,-23.50999999999999,-0.2350999999999999,24823014146.6,-2451586488.1800003,20470479538.05,5254157971.17,274.63,274.63,224.81
2020-02-29,ethereum,227.71,2.280000000000001,0.0228,25137364865.97,257811027.7100029,19715536659.91,-4279042039.9000015,225.43,227.71,225.43
2020-03-03,ethereum,231.68,12.740000000000007,0.1274000000000001,25392608994.5,1342734466.5900002,18301098060.91,1743735032.3600006,218.35,231.68,218.35
2020-03-07,ethereum,244.24,16.159999999999997,0.1615999999999999,26861442576.63,1788500608.260002,16938887970.32,882209965.5499992,223.96,244.24,223.96
2020-03-11,ethereum,200.75,-0.0999999999999943,-0.0009999999999999,22178131746.59,177006347.1800003,10622282127.51,-7278039573.129999,237.38,237.38,198.82
2020-03-15,ethereum,123.03,-9.539999999999992,-0.0953999999999999,13505998666.24,-1061055897.960001,8678897518.71,-15733292801.150002,194.22,194.22,110.6
2020-03-19,ethereum,117.7,0.480000000000004,0.0048,12900856057.87,-90337676.64999962,9829287702.01,-684767043.7199993,124.6,124.6,110.99
2020-03-23,ethereum,122.52,-9.420000000000002,-0.0942,13499834314.77,-1075373316.33,10177508398.87,-2456026211.1399994,136.81,136.81,122.52
2020-03-27,ethereum,138.77,2.5400000000000205,0.0254000000000002,15277363230.97,256782652.40999985,7749490793.66,-2867444514.1800003,135.59,138.78,135.59
2020-03-31,ethereum,132.36,7.0400000000000205,0.0704000000000002,14615131244.89,795287319.5299988,8469234427.79,750359322.96,130.29,132.36,125.32
2020-04-03,ethereum,141.45,5.22999999999999,0.0522999999999998,15522802609.01,626230057.4899998,13645052823.77,5796451676.43,133.24,141.45,133.24
2020-04-07,ethereum,169.86,27.01000000000002,0.2701000000000002,18679968361.11,2909502296.980001,15337221519.35,7065524441.410001,141.26,169.86,141.26
2020-04-11,ethereum,157.74,-12.359999999999983,-0.1235999999999998,17375118634.99,-1412334748.959999,14135915530.59,2164124505.22,164.52,172.8,157.74
