date,id,prices,price_diff,returns,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2021-01-03,bitcoin,32163.82,2811.6899999999987,28.116899999999987,597887713053.58,52294430838.32996,57273436641.22,23183718653.13,29022.42,32163.82,29022.42
2021-01-07,bitcoin,36933.52,2851.3099999999977,28.513099999999977,682743683563.07,49092012043.66992,71027195897.95,3606695182.43,33008.23,36933.52,31515.58
2021-01-11,bitcoin,38397.9,-1898.6299999999972,-18.98629999999997,714078952009.02,-35268249453.619995,73381123612.69,17459314941.15,39547.08,40815.96,38397.9
2021-01-15,bitcoin,39232.75,1776.739999999998,17.76739999999998,729751433670.09,33082799578.75,57519444621.69,-7759500172.290001,35669.91,39232.75,33938.34
2021-01-19,bitcoin,36595.46,791.1999999999971,7.911999999999971,682647247200.1,10355312706.660034,46769030146.77,-3980228592.420006,36787.52,36787.52,35804.26
2021-01-23,bitcoin,32957.91,2044.2100000000028,20.44210000000003,613271077002.48,38065566734.349976,69549742252.37,134427954.69999695,36104.86,36104.86,30913.7
2021-01-27,bitcoin,32582.11,206.79000000000087,2.0679000000000087,606573549809.83,4055699057.799927,48489676580.41,-1920876681.0,32068.09,32582.11,32068.09
2021-01-31,bitcoin,34199.52,48.69999999999709,0.4869999999999709,636624676861.26,936008797.670044,52001249491.11,-45467266034.31,30445.53,34199.52,30445.53
2021-02-03,bitcoin,35485.99,2080.0,20.8,660664104637.49,38755872947.349976,50730704376.61,1461844133.9400024,33064.79,35485.99,33064.79
2021-02-07,bitcoin,39279.41,1271.5800000000015,12.715800000000018,732453192636.72,26133029708.059937,57076868562.49,9630612080.78,37494.72,39279.41,36816.51
2021-02-11,bitcoin,44848.69,-1720.8699999999951,-17.208699999999954,839561451461.06,-27603129542.299927,70000356395.82,-8828074721.23999,38833.34,46569.56,38833.34
2021-02-15,bitcoin,48607.87,1666.5800000000015,16.66580000000002,905515462576.99,31090444889.910034,57738376570.13,2425994920.790001,47815.96,48607.87,46941.29
2021-02-19,bitcoin,51733.08,-410.59999999999854,-4.105999999999986,963911356673.46,-7605212174.119995,58486508605.56,-9992230525.870005,47898.49,52143.68,47898.49
2021-02-23,bitcoin,54410.86,-3258.4400000000023,-32.584400000000024,1012091985973.46,-63288351384.45007,101532021847.07,40308749636.11001,56038.73,57669.3,54410.86
2021-02-27,bitcoin,46551.49,-441.1800000000003,-4.411800000000003,869070614247.86,-6813318004.579956,74357197463.71,14001816188.160004,48691.89,49849.38,46551.49
2021-02-28,bitcoin,46653.53,102.04000000000087,1.0204000000000086,869649724200.58,579109952.7199707,50989764248.83,-23367433214.880005,46653.53,49787.34,44970.16
2021-03-07,bitcoin,49019.37,-72.43999999999505,-0.7243999999999505,916504852500.39,5125552447.040039,41478786533.38,-15089325760.89,50577.46,50577.46,48727.45
2021-03-11,bitcoin,56020.49,1320.2200000000012,13.202200000000012,1044805904677.55,25827085520.130005,63560545036.8,6142293293.7400055,51313.09,56020.49,51313.09
2021-03-15,bitcoin,59428.97,-1886.229999999996,-18.86229999999996,1111684638819.07,-33506734702.52002,48104078384.27,-19228678267.01,57788.87,61315.2,57353.86
2021-03-19,bitcoin,57922.41,-1092.5199999999968,-10.925199999999968,1081065767945.87,-19962775302.58997,58387006275.73,-4981262350.549995,55805.33,59014.93,55805.33
2021-03-23,bitcoin,54370.14,-3203.400000000001,-32.03400000000001,1020641820438.66,-53714967858.52002,62001716794.84,6337592957.239998,58243.27,58376.16,54370.14
2021-03-27,bitcoin,55033.1,3616.189999999995,36.16189999999995,1027209990794.89,68054730428.15002,55442557956.15,-7959082546.409996,54584.87,55033.1,51416.91
2021-03-31,bitcoin,58668.63,1033.699999999997,10.336999999999971,1095293012032.84,19350849495.849976,52387542500.62,-4999497204.849998,55832.42,58668.63,55728.1
2021-04-03,bitcoin,59060.03,258.8399999999965,2.588399999999965,1103133931136.55,4550107262.320068,52224918752.08,-2095762648.4899976,58817.37,59060.03,58801.19
2021-04-07,bitcoin,58062.18,-644.6399999999994,-6.446399999999994,1084341670320.81,-11860941069.139893,61497704158.14,6827530881.050003,57060.41,58706.82,57060.41
2021-04-11,bitcoin,59979.39,1826.4000000000012,18.264000000000014,1116221525334.33,30426862929.600098,61788197398.74,15907318356.979996,56134.42,59979.39,56134.42
2021-04-15,bitcoin,62807.12,-769.5599999999977,-7.695599999999977,1173412921929.89,-14324123955.28003,80157135507.59,8164015496.410004,59988.02,63576.68,59911.02
2021-04-19,bitcoin,56288.95,-3984.9200000000055,-39.84920000000005,1053618163309.58,-71974249213.64001,102065957642.23,38257745509.69,63179.77,63179.77,56288.95
2021-04-23,bitcoin,51965.57,-2224.5,-22.245,971174701492.85,-41524562852.81006,77897442831.72,21782072509.58,55721.17,56294.73,51965.57
2021-04-27,bitcoin,53978.81,4997.369999999995,49.97369999999995,1008389773189.79,92855953330.65002,60226926859.92,13993494705.689997,51191.12,53978.81,48981.44
2021-04-30,bitcoin,53596.7,-1213.9100000000035,-12.139100000000036,1001973605935.4,-22652227456.83997,46958036373.36,-1114894289.6500015,54991.81,54991.81,53596.7
2021-05-03,bitcoin,56600.75,-1212.2200000000012,-12.122200000000012,1057850321948.55,-23047312174.73999,39072664393.93,-4894405651.889999,57828.51,57828.51,56600.75
2021-05-07,bitcoin,56507.76,-924.3399999999964,-9.243399999999966,1056801053574.51,-14168025779.02002,87510802710.78,15352434453.229996,57200.3,57432.1,53464.37
2021-05-11,bitcoin,55901.67,-2312.260000000002,-23.12260000000002,1045714370754.16,-43189112639.15002,76672978747.69,8766694667.080002,57361.57,58771.88,55901.67
2021-05-15,bitcoin,49913.26,-59.54000000000087,-0.5954000000000087,935962705739.44,997939553.4799803,56820196964.51,-47383354203.43,56928.97,56928.97,49913.26
2021-05-19,bitcoin,43091.04,-689.7900000000009,-6.897900000000009,800545278567.69,-18711344761.04004,65037066859.12,-19017812064.730003,46780.9,46780.9,43091.04
2021-05-23,bitcoin,37520.32,180.69000000000236,1.8069000000000237,702143968883.52,3381256329.790039,61178935273.65,-27527075714.63999,37287.39,40437.73,37287.39
2021-05-27,bitcoin,39406.93,1196.1200000000026,11.961200000000026,737668726732.38,22420036742.48999,47026386118.47,-1698408039.5199966,34977.53,39406.93,34977.53
2021-05-31,bitcoin,35714.75,939.6699999999984,9.396699999999983,668664301773.54,14424493416.880005,30650274657.7,-12533750387.069996,38642.9,38642.9,34775.08
2021-06-03,bitcoin,37685.72,1005.6500000000016,10.056500000000014,704531333543.39,15804952496.20996,31240691604.2,-2296213423.5099983,37340.68,37685.72,36680.07
2021-06-07,bitcoin,35834.47,287.4800000000032,2.874800000000032,671131079523.73,8217593250.390015,27689283070.84,-6378889764.93,39151.32,39151.32,35546.99
2021-06-11,bitcoin,36903.3,-650.3399999999965,-6.503399999999965,691681868464.47,-13610808706.98999,42952476854.83,-11558910981.28,33451.38,37553.64,33451.38
2021-06-15,bitcoin,40624.51,1476.800000000003,14.768000000000027,761104314502.29,27701683423.170044,45836408439.45,7650775161.159996,37289.43,40624.51,35666.15
2021-06-19,bitcoin,35881.11,-2312.510000000002,-23.12510000000002,673761687974.49,-41890754180.640015,35162612172.75,-1167625111.6699982,40378.2,40378.2,35881.11
2021-06-23,bitcoin,32507.74,795.8000000000029,7.958000000000029,606580031922.72,8244298786.849976,57443014757.92,5569144481.400002,35581.64,35787.08,31711.94
2021-06-27,bitcoin,32023.97,80.83000000000175,0.8083000000000174,600235334320.82,1532314709.369995,36873109419.9,-1762136011.459999,33702.62,34675.45,31943.14
2021-06-30,bitcoin,35968.99,1412.1500000000017,14.121500000000015,674231340724.41,26490116607.47998,35121257875.55,2667454984.5300026,34607.29,35968.99,34556.84
2021-07-03,bitcoin,33950.79,273.2200000000012,2.732200000000012,633684390025.56,3820494453.8100586,25084046353.17,-4045583882.970001,35171.49,35171.49,33677.57
2021-07-07,bitcoin,34149.99,221.86000000000055,2.2186000000000057,640405812761.69,4343891846.859985,26106856611.92,212036427.16999817,34729.89,35394.21,33928.13
2021-07-11,bitcoin,33704.54,-266.76000000000204,-2.66760000000002,632185737683.15,-4814632692.319946,20558304483.59,-3723803627.630001,33932.25,33971.3,32933.58
2021-07-15,bitcoin,32878.5,202.11999999999895,2.0211999999999897,616691143979.96,3689098878.589966,21779069066.45,1846537366.8300016,34299.94,34299.94,32676.38
2021-07-19,bitcoin,31919.39,330.7200000000012,3.3072000000000115,597872278369.11,5290347297.900024,17742105807.9,26649813.11000061,31726.04,31919.39,31399.65
