date,id,prices,price_diff,returns,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2015-01-03,bitcoin,286.57,-27.879999999999995,-0.2787999999999999,3921358112.1,-380090222.5999999,118778941.41,79923035.11,313.99,314.45,286.57
2015-01-07,bitcoin,295.87,10.5,0.105,4053238742.44,144830521.09000015,110674232.98,13671337.0,260.94,295.87,260.94
2015-01-11,bitcoin,267.18,-7.349999999999966,-0.0734999999999996,3664201453.6,-99707746.32999992,73256737.91,-19427097.72,284.45,289.57,267.18
2015-01-15,bitcoin,210.56,38.41,0.3840999999999999,2890521922.99,527882373.1399999,257637517.29,21630596.47,268.35,268.35,172.15
2015-01-19,bitcoin,214.54,5.549999999999983,0.0554999999999998,2948379298.88,77087129.53999996,105545327.34,-13118905.39,205.82,214.55,199.49
2015-01-23,bitcoin,232.9,0.8600000000000136,0.0086000000000001,3203686663.5,12484325.349999905,126038219.21,-25191667.220000014,210.51,232.9,210.51
2015-01-27,bitcoin,259.24,-12.050000000000011,-0.1205000000000001,3568728002.06,-165608328.57999992,339951744.74,-61804201.78999996,248.1,271.29,248.1
2015-01-31,bitcoin,218.02,-10.619999999999976,-0.1061999999999997,3005342178.85,-145362234.97000027,92459195.63,-13373336.97,232.53,232.53,218.02
2015-02-03,bitcoin,226.01,-14.01000000000002,-0.1401000000000002,3117998019.13,-192468176.1199999,135790231.89,27746400.679999992,226.27,240.02,226.01
2015-02-07,bitcoin,227.21,4.719999999999999,0.0471999999999999,3138151161.07,66075714.37000036,80694160.19,-7470786.650000006,225.31,227.21,216.91
2015-02-11,bitcoin,219.1,-1.5500000000000114,-0.0155000000000001,3029418429.03,-20578231.23999977,65150873.75,-1558100.1700000018,222.91,222.91,219.1
2015-02-15,bitcoin,233.0,-26.00999999999999,-0.2600999999999999,3224923703.82,-359120749.10999966,199965387.66,34529953.91,222.04,259.01,222.04
2015-02-19,bitcoin,240.3,5.680000000000007,0.0568,3329826479.07,79641633.62000036,71396084.82,-17425386.96000001,235.92,242.46,234.62
2015-02-23,bitcoin,238.13,2.579999999999984,0.0257999999999998,3303312137.12,36610133.69999981,61755698.93,-12424777.139999991,244.08,244.15,235.55
2015-02-27,bitcoin,253.9,17.730000000000018,0.1773000000000001,3525782547.11,247095147.1500001,137186494.71,92195450.20000002,238.73,253.9,236.17
2015-02-28,bitcoin,253.6,-0.3000000000000113,-0.0030000000000001,3522504178.95,-3278368.160000324,85884430.31,-51302064.400000006,253.6,280.62,253.6
2015-03-07,bitcoin,275.58,3.240000000000009,0.0324,3834877371.46,46092439.99000025,50059694.68,-24644797.360000007,273.02,275.58,272.34
2015-03-11,bitcoin,295.96,5.649999999999977,0.0564999999999997,4122115211.9,79093046.78000021,73794326.12,-55491021.42,274.58,295.96,274.58
2015-03-15,bitcoin,285.26,3.769999999999982,0.0376999999999998,3977863688.64,53664908.02999973,32203956.62,-31040235.21,293.92,293.92,281.49
2015-03-19,bitcoin,260.0,4.389999999999986,0.0438999999999998,3629235646.08,62257515.23999977,133194355.06,9545587.290000008,290.1,290.1,255.61
